Site,MAT,MAP,LON,LAT,ALT,NestedT,Slope_PL,Slope_STP,Slope_ITV,ex_Turnover,ex_ITV,rate,P-PL,P-STP,P-ITV,GrasslandType
NM10,5.6541667,158,107.866625,42.07049444,1302,21.74598902,0.000520608,-0.000262995,0.000783599,0.026806186,0.237975971,0.112642405,0.189490849,0.132939079,0.068953677,Desert steppe
NM11,5.57499981,165,108.6435472,42.23232222,1165,19.7756853,0,0,0,,,,NaN,NaN,NaN,Typical steppe
NM12,5.3458333,167,109.2819389,42.37846944,1173,22.54335106,0,0,0,,,,NaN,NaN,NaN,Desert steppe
NM13,5.70416689,164,110.0081635,42.42117557,1143,25.47230839,0,0,0,,,,NaN,NaN,NaN,Desert steppe
NM14,4.6624999,225,110.1204722,41.90107222,1435,24.32217896,0,0,0,,,,NaN,NaN,NaN,Desert steppe
NM17,3,335,110.7260972,40.90486944,1721,21.63710824,-0.005898887,-0.004031894,-0.00186631,0.059671995,0.012794913,4.663727989,0.145382261,0.288045932,0.164602366,Typical steppe
NM20,5.57916689,163,110.8034056,42.72433611,971,19.22360793,0,0,0,,,,NaN,NaN,NaN,Desert steppe
NM21,4.79583359,155,111.2912556,43.10095,1032,28.14179547,0,0,0,,,,NaN,NaN,NaN,Desert steppe
NM23,3.98333335,215,111.5631139,41.79689167,1375,36.20965233,-0.00011616,0.000126354,-0.0002425,0.00185454,0.006831774,0.27145799,0.87605779,0.585548467,0.715050034,Typical steppe
NM33,1.55416667,222,114.3363472,44.40805833,1073,21.52173352,0,0,0,,,,NaN,NaN,NaN,Typical steppe
NM34,0.19583334,242,114.6475694,44.88246944,1322,26.8370785,0,0,0,,,,NaN,NaN,NaN,Typical steppe
NM75,2.72916651,319,114.9607583,42.36788056,1412,27.66009734,-0.020404473,-0.015453259,-0.004900418,0.215151027,0.022086486,9.74129719,0.006893044,8.86E-06,0.455989637,Typical steppe
NM79,1.9041667,199,113.1571694,44.42975833,1184,20.8922971,0,0,0,,,,NaN,NaN,NaN,Typical steppe
NM80,2.2249999,182,112.362225,44.58740556,1111,24.3248101,0,0,0,,,,NaN,NaN,NaN,Desert steppe
NM81,3.01666665,165,112.0587167,44.15485556,1012,22.55627949,-0.000317465,9.35E-06,-0.000326815,5.83E-05,0.071246388,0.000818985,0.298818986,0.910686425,0.160755308,Desert steppe
NM84,4.57916641,208,113.0004139,43.25316667,1014,24.28591916,0,0,0,,,,NaN,NaN,NaN,Desert steppe
NM86,5.42916632,223,112.9084944,42.38191667,1123,22.19564675,-0.000317465,-7.69E-05,-0.000240555,0.003945565,0.038599579,0.102217824,0.298818986,0.04308419,0.408560297,Typical steppe
NM87,4.17916679,251,113.6172222,42.33605556,1272,34.74331048,-0.002980094,-0.000647788,-0.002329706,0.003176498,0.041176956,0.077142617,0.298818986,0.505982689,0.226608639,Typical steppe
NM96,7.70416689,223,104.8720517,36.98690331,1715,25.57634388,0,0,0,,,,NaN,NaN,NaN,Typical steppe
