Site,MAT,MAP,LON,LAT,ALT,SWC,SWC_2mm,pH,Potential,STC,STN,STP,Soil_AP,NH4N,NO3N,TIC,NestedT,PL,Proness,ITV_PL,ex_Turnover,ex_ITV,rate
NM9,4.7208333,191,108.39865,41.734175,1461,0.142241379,0.142241379,8.21,-73,0.57,0.11,0.761415,6.574753473,3.686,1.177396835,,21.58613126,-0.000123255,5.84E-06,-0.00012909,9.42E-06,0.004608992,0.002043811
NM10,5.6541667,158,107.866625,42.07049444,1302,0.041036717,0.041036717,6.98,-1,0.42,0.06,0.066497,7.689406822,2.36,2.012820659,,21.74598902,0.000520608,-0.000262995,0.000783599,0.026806186,0.237975971,0.112642405
NM11,5.57499981,165,108.6435472,42.23232222,1165,0.098696462,0.098696462,8.08,-62,0.98,0.13,0.30075,12.28166098,1.253,12.69597017,,19.7756853,0,0,0,,,
NM12,5.3458333,167,109.2819389,42.37846944,1173,0.091514143,0.091514143,9,-109,0.3,0.07,0.125257,6.522858689,0.788,3.469563638,,22.54335106,0,0,0,,,
NM13,5.70416689,164,110.0081635,42.42117557,1143,0.079241071,0.079241071,7.47,-30,0.83,0.09,0.17899,16.57343383,1.911,4.715654336,,25.47230839,0,0,0,,,
NM14,4.6624999,225,110.1204722,41.90107222,1435,0.091559371,0.091559371,8.06,-67,1.27,0.18,0.285836,4.450778315,1.295,4.240198963,,24.32217896,0,0,0,,,
NM17,3,335,110.7260972,40.90486944,1721,0.07400722,0.07400722,7.13,-8,1.64,0.21,0.648122,10.89045222,4.697,5.748249506,,21.63710824,-0.005898887,-0.004031894,-0.00186631,0.059671995,0.012794913,4.663727989
NM20,5.57916689,163,110.8034056,42.72433611,971,0.058414465,0.058414465,7.77,-45,0.58,0.13,0.181275,8.543235014,1.035,2.32846735,,19.22360793,0,0,0,,,
NM21,4.79583359,155,111.2912556,43.10095,1032,0.065,0.065,7.91,-54,0.65,0.12,0.116607,8.427877376,0.962,4.352464906,,28.14179547,0,0,0,,,
NM23,3.98333335,215,111.5631139,41.79689167,1375,0.096885813,0.096885813,7.7,-41,0.77,0.11,0.232083,8.402223537,3.515,13.97961604,,36.20965233,-0.00011616,0.000126354,-0.0002425,0.00185454,0.006831774,0.27145799
NM33,1.55416667,222,114.3363472,44.40805833,1073,0.100886918,0.100886918,7.19,-10,1.15,0.19,0.201838,8.2573014,2.102,5.704055959,,21.52173352,0,0,0,,,
NM34,0.19583334,242,114.6475694,44.88246944,1322,0.102348993,0.102348993,7.19,-9,1.62,0.22,0.342858,10.40069933,8.193,16.68270846,,26.8370785,0,0,0,,,
NM75,2.72916651,319,114.9607583,42.36788056,1412,0.145427286,0.145427286,7.45,-25,2.27,0.28,0.442367,14.33717961,8.248,16.90655035,,27.66009734,-0.020404473,-0.015453259,-0.004900418,0.215151027,0.022086486,9.74129719
NM79,1.9041667,199,113.1571694,44.42975833,1184,0.201075269,0.201075269,7.67,-40,0.64,0.12,0.250435,8.414251159,2.149,3.362464083,,20.8922971,0,0,0,,,
NM80,2.2249999,182,112.362225,44.58740556,1111,0.016423358,0.016423358,7.8,-47,0.84,0.15,0.143065,13.78835792,0.845,0.087794185,,24.3248101,0,0,0,,,
NM81,3.01666665,165,112.0587167,44.15485556,1012,0.011049724,0.011049724,7.57,-34,0.59,0.12,0.382721,12.20723862,1.337,0.889942238,,22.55627949,-0.000317465,9.35E-06,-0.000326815,5.83E-05,0.071246388,0.000818985
NM84,4.57916641,208,113.0004139,43.25316667,1014,0.012335526,0.012335526,8.18,-70,0.51,0.13,0.116585,1.503432092,0.18,0.567927027,,24.28591916,0,0,0,,,
NM86,5.42916632,223,112.9084944,42.38191667,1123,0.022167488,0.022167488,8.53,-90,1.39,0.15,0.323941,10.80074484,4.633,0.16853116,,22.19564675,-0.000317465,-7.69E-05,-0.000240555,0.003945565,0.038599579,0.102217824
NM87,4.17916679,251,113.6172222,42.33605556,1272,0.031490015,0.031490015,8.42,-86,1.28,0.17,0.369867,5.330445717,5.076,1.624109561,,34.74331048,-0.002980094,-0.000647788,-0.002329706,0.003176498,0.041176956,0.077142617
NM96,7.70416689,223,104.8720517,36.98690331,1715,0.064577398,0.064577398,8.55,-92,2.3,0.11,0.526568,16.19272466,8.763,2.205924006,,25.57634388,0,0,0,,,
